,anomaly_score,cluster,hotel,lead_time,adr,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,market_segment,customer_type,country,deposit_type,meal,total_of_special_requests,is_canceled
1587,131.3494,0,Resort Hotel,333,0.0,5,2,26,0,0,Offline TA/TO,Other,PRT,No Deposit,BB,0,1
1752,131.2777,0,Resort Hotel,340,0.0,5,2,26,0,0,Offline TA/TO,Other,PRT,No Deposit,BB,0,1
14038,59.5126,0,Resort Hotel,126,110.0,50,19,1,0,0,Direct,Transient,,No Deposit,HB,3,0
94063,33.6977,0,City Hotel,4,176.0,4,0,2,0,2,Online TA,Transient,Other,No Deposit,BB,2,0
14039,16.1081,0,Resort Hotel,74,115.0,21,9,1,0,0,Direct,Transient,PRT,No Deposit,HB,3,0
14789,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14803,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14800,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14795,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14792,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14790,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14787,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14786,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14785,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14783,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14781,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
14780,15.9859,0,Resort Hotel,275,50.0,0,2,2,0,0,Offline TA/TO,Transient,PRT,Non Refund,HB,0,1
2417,15.8329,0,Resort Hotel,334,0.0,5,2,10,0,0,Direct,Other,PRT,No Deposit,BB,0,1
14829,15.5237,0,Resort Hotel,222,49.95,5,1,2,0,0,Groups,Transient,PRT,Non Refund,Other,0,1
14832,15.5237,0,Resort Hotel,222,49.95,5,1,2,0,0,Groups,Transient,PRT,Non Refund,Other,0,1
