representation_id,k,n_pairs,ari_mean,ari_std,ari_min
R0_main,2,45,1.0,0.0,1.0
R0_main,3,45,1.0,0.0,1.0
R0_main,4,45,1.0,0.0,1.0
R0_main,5,45,1.0,0.0,1.0
R1_robust,2,45,1.0,0.0,1.0
R1_robust,3,45,1.0,0.0,1.0
R1_robust,4,45,1.0,0.0,1.0
R1_robust,5,45,1.0,0.0,1.0
R2_withADR,2,45,1.0,0.0,1.0
R2_withADR,3,45,1.0,0.0,1.0
R2_withADR,4,45,1.0,0.0,1.0
R2_withADR,5,45,1.0,0.0,1.0
R3_cyclicMonth,2,45,1.0,0.0,1.0
R3_cyclicMonth,3,45,1.0,0.0,1.0
R3_cyclicMonth,4,45,1.0,0.0,1.0
R3_cyclicMonth,5,45,1.0,0.0,1.0
R4_dropRedundant,2,45,1.0,0.0,1.0
R4_dropRedundant,3,45,1.0,0.0,1.0
R4_dropRedundant,4,45,1.0,0.0,1.0
R4_dropRedundant,5,45,1.0,0.0,1.0
