representation_id,k,n_pairs,ari_mean,ari_std,ari_min
R0_main,2,45,0.5626,0.4555,-0.0006
R0_main,3,45,0.992,0.0061,0.9831
R0_main,4,45,0.6889,0.2763,0.1558
R0_main,5,45,0.9054,0.134,0.6404
R1_robust,2,45,0.9995,0.0004,0.9985
R1_robust,3,45,0.9978,0.0019,0.9935
R1_robust,4,45,0.9981,0.0006,0.997
R1_robust,5,45,0.9101,0.1746,0.5603
R2_withADR,2,45,0.6376,0.3909,0.0006
R2_withADR,3,45,0.7748,0.2904,0.1828
R2_withADR,4,45,0.567,0.2947,0.158
R2_withADR,5,45,0.8061,0.1811,0.5321
R3_cyclicMonth,2,45,0.7998,0.4004,-0.0011
R3_cyclicMonth,3,45,0.9986,0.001,0.9969
R3_cyclicMonth,4,45,0.8008,0.1337,0.6204
R3_cyclicMonth,5,45,0.8802,0.1208,0.6086
R4_dropRedundant,2,45,0.4628,0.464,-0.0007
R4_dropRedundant,3,45,0.9932,0.0065,0.982
R4_dropRedundant,4,45,0.8068,0.1421,0.6017
R4_dropRedundant,5,45,0.9423,0.0517,0.8826
