method,representation_id,k,bootstrap_ari_mean,bootstrap_ari_std
kmeans,R0_main,2,0.4614,0.4627
kmeans,R0_main,3,0.9816,0.0097
kmeans,R0_main,4,0.7665,0.1381
kmeans,R0_main,5,0.8281,0.1491
kmeans,R1_robust,2,0.9666,0.0172
kmeans,R1_robust,3,0.9869,0.0047
kmeans,R1_robust,4,0.9832,0.0043
kmeans,R1_robust,5,0.9842,0.004
kmeans,R2_withADR,2,0.7032,0.4011
kmeans,R2_withADR,3,0.9091,0.0574
kmeans,R2_withADR,4,0.6922,0.1658
kmeans,R2_withADR,5,0.8934,0.0781
kmeans,R3_cyclicMonth,2,0.4641,0.497
kmeans,R3_cyclicMonth,3,0.99,0.0047
kmeans,R3_cyclicMonth,4,0.843,0.1203
kmeans,R3_cyclicMonth,5,0.7586,0.1327
kmeans,R4_dropRedundant,2,0.4547,0.3987
kmeans,R4_dropRedundant,3,0.9828,0.0065
kmeans,R4_dropRedundant,4,0.7786,0.129
kmeans,R4_dropRedundant,5,0.7913,0.1409
ikmeans,R0_main,2,0.4614,0.4627
ikmeans,R0_main,3,0.9816,0.0097
ikmeans,R0_main,4,0.7665,0.1381
ikmeans,R0_main,5,0.8281,0.1491
ikmeans,R1_robust,2,0.9666,0.0172
ikmeans,R1_robust,3,0.9869,0.0047
ikmeans,R1_robust,4,0.9832,0.0043
ikmeans,R1_robust,5,0.9842,0.004
ikmeans,R2_withADR,2,0.7032,0.4011
ikmeans,R2_withADR,3,0.9091,0.0574
ikmeans,R2_withADR,4,0.6922,0.1658
ikmeans,R2_withADR,5,0.8934,0.0781
ikmeans,R3_cyclicMonth,2,0.4641,0.497
ikmeans,R3_cyclicMonth,3,0.99,0.0047
ikmeans,R3_cyclicMonth,4,0.843,0.1203
ikmeans,R3_cyclicMonth,5,0.7586,0.1327
ikmeans,R4_dropRedundant,2,0.4547,0.3987
ikmeans,R4_dropRedundant,3,0.9828,0.0065
ikmeans,R4_dropRedundant,4,0.7786,0.129
ikmeans,R4_dropRedundant,5,0.7913,0.1409
