,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,is_canceled,reservation_status,reservation_status_date,cluster,split,representation_id,method
0,Resort Hotel,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,Other,No Deposit,Transient,0.0,0,0,0,Check-Out,2015-07-01,0,val,R4_dropRedundant,kmeans
1,Resort Hotel,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,Other,No Deposit,Transient,0.0,0,0,0,Check-Out,2015-07-01,0,train,R4_dropRedundant,kmeans
2,Resort Hotel,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,No Deposit,Transient,75.0,0,0,0,Check-Out,2015-07-02,0,train,R4_dropRedundant,kmeans
3,Resort Hotel,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,No Deposit,Transient,75.0,0,0,0,Check-Out,2015-07-02,0,val,R4_dropRedundant,kmeans
4,Resort Hotel,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,98.0,0,1,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
5,Resort Hotel,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,98.0,0,1,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
6,Resort Hotel,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,Other,No Deposit,Transient,107.0,0,0,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
7,Resort Hotel,9,2015,July,27,1,0,2,2,0,0,Other,PRT,Direct,Direct,0,0,0,Other,No Deposit,Transient,103.0,0,1,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
8,Resort Hotel,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,82.0,0,1,1,Canceled,2015-05-06,0,train,R4_dropRedundant,kmeans
9,Resort Hotel,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,105.5,0,0,1,Canceled,2015-04-22,0,train,R4_dropRedundant,kmeans
