method,k,baseline,variant,n_seeds_compared,ari_mean,ari_std
kmeans,2,R0_main,R1_robust,10,0.0062,0.0121
kmeans,3,R0_main,R1_robust,10,0.038,0.0008
kmeans,4,R0_main,R1_robust,10,0.0819,0.0653
kmeans,5,R0_main,R1_robust,10,0.1253,0.0312
kmeans,2,R0_main,R2_withADR,10,0.6991,0.4568
kmeans,3,R0_main,R2_withADR,10,0.7368,0.2057
kmeans,4,R0_main,R2_withADR,10,0.5312,0.2385
kmeans,5,R0_main,R2_withADR,10,0.7187,0.0844
kmeans,2,R0_main,R3_cyclicMonth,10,0.8445,0.3219
kmeans,3,R0_main,R3_cyclicMonth,10,0.9606,0.0029
kmeans,4,R0_main,R3_cyclicMonth,10,0.7538,0.2369
kmeans,5,R0_main,R3_cyclicMonth,10,0.9005,0.0355
kmeans,2,R0_main,R4_dropRedundant,10,0.8988,0.2998
kmeans,3,R0_main,R4_dropRedundant,10,0.994,0.0057
kmeans,4,R0_main,R4_dropRedundant,10,0.7337,0.2145
kmeans,5,R0_main,R4_dropRedundant,10,0.95,0.0892
ikmeans,2,R0_main,R1_robust,10,1.0,0.0
ikmeans,3,R0_main,R1_robust,10,1.0,0.0
ikmeans,4,R0_main,R1_robust,10,1.0,0.0
ikmeans,5,R0_main,R1_robust,10,1.0,0.0
ikmeans,2,R0_main,R2_withADR,10,1.0,0.0
ikmeans,3,R0_main,R2_withADR,10,1.0,0.0
ikmeans,4,R0_main,R2_withADR,10,1.0,0.0
ikmeans,5,R0_main,R2_withADR,10,1.0,0.0
ikmeans,2,R0_main,R3_cyclicMonth,10,0.9998,0.0
ikmeans,3,R0_main,R3_cyclicMonth,10,0.9946,0.0
ikmeans,4,R0_main,R3_cyclicMonth,10,0.9235,0.0
ikmeans,5,R0_main,R3_cyclicMonth,10,0.9936,0.0
ikmeans,2,R0_main,R4_dropRedundant,10,-0.0069,0.0
ikmeans,3,R0_main,R4_dropRedundant,10,0.1301,0.0
ikmeans,4,R0_main,R4_dropRedundant,10,0.5577,0.0
ikmeans,5,R0_main,R4_dropRedundant,10,0.5595,0.0
