representation_id,block,n_features,mean_sq_contrib,share_pct
R0_main,log_numerical,3,5.89,15.3
R0_main,rest_numerical,11,23.484,60.9
R0_main,categorical_ohe,58,9.208,23.9
R1_robust,log_numerical,3,1.328,7.4
R1_robust,rest_numerical,11,7.462,41.5
R1_robust,categorical_ohe,58,9.208,51.2
R2_withADR,log_numerical,3,5.89,14.7
R2_withADR,rest_numerical,12,24.952,62.3
R2_withADR,categorical_ohe,58,9.208,23.0
R3_cyclicMonth,log_numerical,3,5.89,15.2
R3_cyclicMonth,rest_numerical,11,23.484,60.7
R3_cyclicMonth,categorical_ohe,46,7.387,19.1
R3_cyclicMonth,cyclic_time,2,1.949,5.0
R4_dropRedundant,log_numerical,3,5.89,15.5
R4_dropRedundant,rest_numerical,11,23.484,61.8
R4_dropRedundant,categorical_ohe,54,8.605,22.7
