representation_id,comparison,k_cluster,seed,ari
R0_main,spectral_vs_kmeans,2,17341,0.0006
R0_main,spectral_vs_ikmeans,2,17341,0.1428
R0_main,spectral_vs_kmeans,2,17342,0.9595
R0_main,spectral_vs_ikmeans,2,17342,0.1428
R0_main,spectral_vs_kmeans,2,17343,0.9595
R0_main,spectral_vs_ikmeans,2,17343,0.1428
R0_main,spectral_vs_kmeans,2,17344,0.9595
R0_main,spectral_vs_ikmeans,2,17344,0.1428
R0_main,spectral_vs_kmeans,2,17345,0.0006
R0_main,spectral_vs_ikmeans,2,17345,0.1428
R0_main,spectral_vs_kmeans,3,17341,0.1077
R0_main,spectral_vs_ikmeans,3,17341,0.045
R0_main,spectral_vs_kmeans,3,17342,0.1077
R0_main,spectral_vs_ikmeans,3,17342,0.045
R0_main,spectral_vs_kmeans,3,17343,0.1076
R0_main,spectral_vs_ikmeans,3,17343,0.045
R0_main,spectral_vs_kmeans,3,17344,0.1076
R0_main,spectral_vs_ikmeans,3,17344,0.045
R0_main,spectral_vs_kmeans,3,17345,0.1077
R0_main,spectral_vs_ikmeans,3,17345,0.045
R0_main,spectral_vs_kmeans,4,17341,0.278
R0_main,spectral_vs_ikmeans,4,17341,0.0365
R0_main,spectral_vs_kmeans,4,17342,0.278
R0_main,spectral_vs_ikmeans,4,17342,0.0365
R0_main,spectral_vs_kmeans,4,17343,0.0825
R0_main,spectral_vs_ikmeans,4,17343,0.0365
R0_main,spectral_vs_kmeans,4,17344,0.099
R0_main,spectral_vs_ikmeans,4,17344,0.0365
R0_main,spectral_vs_kmeans,4,17345,0.1282
R0_main,spectral_vs_ikmeans,4,17345,0.0365
R0_main,spectral_vs_kmeans,5,17341,0.1075
R0_main,spectral_vs_ikmeans,5,17341,0.0505
R0_main,spectral_vs_kmeans,5,17342,0.1064
R0_main,spectral_vs_ikmeans,5,17342,0.0505
R0_main,spectral_vs_kmeans,5,17343,0.1076
R0_main,spectral_vs_ikmeans,5,17343,0.0505
R0_main,spectral_vs_kmeans,5,17344,0.1077
R0_main,spectral_vs_ikmeans,5,17344,0.0505
R0_main,spectral_vs_kmeans,5,17345,0.1076
R0_main,spectral_vs_ikmeans,5,17345,0.0505
R1_robust,spectral_vs_kmeans,2,17341,0.2724
R1_robust,spectral_vs_ikmeans,2,17341,-0.0494
R1_robust,spectral_vs_kmeans,2,17342,0.2719
R1_robust,spectral_vs_ikmeans,2,17342,-0.0497
R1_robust,spectral_vs_kmeans,2,17343,0.2719
R1_robust,spectral_vs_ikmeans,2,17343,-0.0497
R1_robust,spectral_vs_kmeans,2,17344,0.2724
R1_robust,spectral_vs_ikmeans,2,17344,-0.0494
R1_robust,spectral_vs_kmeans,2,17345,0.2719
R1_robust,spectral_vs_ikmeans,2,17345,-0.0497
R1_robust,spectral_vs_kmeans,3,17341,0.4135
R1_robust,spectral_vs_ikmeans,3,17341,0.4169
R1_robust,spectral_vs_kmeans,3,17342,0.4142
R1_robust,spectral_vs_ikmeans,3,17342,0.4169
R1_robust,spectral_vs_kmeans,3,17343,0.4114
R1_robust,spectral_vs_ikmeans,3,17343,0.4169
R1_robust,spectral_vs_kmeans,3,17344,0.4119
R1_robust,spectral_vs_ikmeans,3,17344,0.4169
R1_robust,spectral_vs_kmeans,3,17345,0.4132
R1_robust,spectral_vs_ikmeans,3,17345,0.4169
R1_robust,spectral_vs_kmeans,4,17341,0.471
R1_robust,spectral_vs_ikmeans,4,17341,0.3975
R1_robust,spectral_vs_kmeans,4,17342,0.4708
R1_robust,spectral_vs_ikmeans,4,17342,0.3975
R1_robust,spectral_vs_kmeans,4,17343,0.4712
R1_robust,spectral_vs_ikmeans,4,17343,0.3975
R1_robust,spectral_vs_kmeans,4,17344,0.4708
R1_robust,spectral_vs_ikmeans,4,17344,0.3975
R1_robust,spectral_vs_kmeans,4,17345,0.4695
R1_robust,spectral_vs_ikmeans,4,17345,0.3975
R1_robust,spectral_vs_kmeans,5,17341,0.6709
R1_robust,spectral_vs_ikmeans,5,17341,0.546
R1_robust,spectral_vs_kmeans,5,17342,0.6714
R1_robust,spectral_vs_ikmeans,5,17342,0.546
R1_robust,spectral_vs_kmeans,5,17343,0.6706
R1_robust,spectral_vs_ikmeans,5,17343,0.546
R1_robust,spectral_vs_kmeans,5,17344,0.669
R1_robust,spectral_vs_ikmeans,5,17344,0.546
R1_robust,spectral_vs_kmeans,5,17345,0.6714
R1_robust,spectral_vs_ikmeans,5,17345,0.546
