representation_id,n_neighbors,k_cluster,seed,sigma,silhouette,davies_bouldin,calinski_harabasz,runtime_s,min_cluster_pct
R0_main,10,2,17341,2.6338,0.4718,1.3893,478.04,0.11,3.3
R0_main,10,2,17342,2.6338,0.4718,1.3893,478.04,0.11,3.3
R0_main,10,2,17343,2.6338,0.4718,1.3893,478.04,0.1,3.3
R0_main,10,2,17344,2.6338,0.4718,1.3893,478.04,0.11,3.3
R0_main,10,2,17345,2.6338,0.4718,1.3893,478.04,0.1,3.3
R0_main,10,3,17341,2.6338,0.2322,1.6904,402.67,0.11,3.3
R0_main,10,3,17342,2.6338,0.2322,1.6904,402.67,0.11,3.3
R0_main,10,3,17343,2.6338,0.2322,1.6904,402.67,0.11,3.3
R0_main,10,3,17344,2.6338,0.2322,1.6904,402.67,0.11,3.3
R0_main,10,3,17345,2.6338,0.2322,1.6904,402.67,0.11,3.3
R0_main,10,4,17341,2.6338,0.164,1.6178,359.81,0.11,3.3
R0_main,10,4,17342,2.6338,0.164,1.6178,359.81,0.11,3.3
R0_main,10,4,17343,2.6338,0.164,1.6178,359.81,0.11,3.3
R0_main,10,4,17344,2.6338,0.164,1.6178,359.81,0.11,3.3
R0_main,10,4,17345,2.6338,0.164,1.6178,359.81,0.11,3.3
R0_main,10,5,17341,2.6338,0.1727,1.5469,348.75,0.11,3.0
R0_main,10,5,17342,2.6338,0.1727,1.5469,348.75,0.11,3.0
R0_main,10,5,17343,2.6338,0.1727,1.5469,348.75,0.11,3.0
R0_main,10,5,17344,2.6338,0.1727,1.5469,348.75,0.11,3.0
R0_main,10,5,17345,2.6338,0.1727,1.5469,348.75,0.11,3.0
R0_main,20,2,17341,2.8543,0.3116,2.3206,393.27,0.11,9.1
R0_main,20,2,17342,2.8543,0.3116,2.3206,393.27,0.11,9.1
R0_main,20,2,17343,2.8543,0.3116,2.3206,393.27,0.11,9.1
R0_main,20,2,17344,2.8543,0.3116,2.3206,393.27,0.11,9.1
R0_main,20,2,17345,2.8543,0.3116,2.3206,393.27,0.11,9.1
R0_main,20,3,17341,2.8543,0.2571,2.1154,409.92,0.11,3.3
R0_main,20,3,17342,2.8543,0.2571,2.1154,409.92,0.12,3.3
R0_main,20,3,17343,2.8543,0.2571,2.1154,409.92,0.11,3.3
R0_main,20,3,17344,2.8543,0.2571,2.1154,409.92,0.11,3.3
R0_main,20,3,17345,2.8543,0.2571,2.1154,409.92,0.11,3.3
R0_main,20,4,17341,2.8543,0.1628,1.9642,361.64,0.11,3.3
R0_main,20,4,17342,2.8543,0.1628,1.9642,361.64,0.11,3.3
R0_main,20,4,17343,2.8543,0.1628,1.9642,361.64,0.11,3.3
R0_main,20,4,17344,2.8543,0.1628,1.9642,361.64,0.11,3.3
R0_main,20,4,17345,2.8543,0.1628,1.9642,361.64,0.11,3.3
R0_main,20,5,17341,2.8543,0.1727,1.6518,369.4,0.12,3.3
R0_main,20,5,17342,2.8543,0.1727,1.6518,369.4,0.12,3.3
R0_main,20,5,17343,2.8543,0.1727,1.6518,369.4,0.11,3.3
R0_main,20,5,17344,2.8543,0.1727,1.6518,369.4,0.12,3.3
R0_main,20,5,17345,2.8543,0.1727,1.6518,369.4,0.12,3.3
R0_main,30,2,17341,2.9761,0.325,2.5029,339.91,0.12,8.5
R0_main,30,2,17342,2.9761,0.325,2.5029,339.91,0.12,8.5
R0_main,30,2,17343,2.9761,0.325,2.5029,339.91,0.12,8.5
R0_main,30,2,17344,2.9761,0.325,2.5029,339.91,0.13,8.5
R0_main,30,2,17345,2.9761,0.325,2.5029,339.91,0.12,8.5
R0_main,30,3,17341,2.9761,0.235,2.5644,266.52,0.18,2.6
R0_main,30,3,17342,2.9761,0.235,2.5644,266.52,0.13,2.6
R0_main,30,3,17343,2.9761,0.235,2.5644,266.52,0.13,2.6
R0_main,30,3,17344,2.9761,0.235,2.5644,266.52,0.13,2.6
R0_main,30,3,17345,2.9761,0.235,2.5644,266.52,0.13,2.6
R0_main,30,4,17341,2.9761,0.239,2.0572,296.47,0.13,0.7
R0_main,30,4,17342,2.9761,0.239,2.0572,296.47,0.13,0.7
R0_main,30,4,17343,2.9761,0.239,2.0572,296.47,0.13,0.7
R0_main,30,4,17344,2.9761,0.2394,1.936,317.33,0.13,0.6
R0_main,30,4,17345,2.9761,0.239,2.0572,296.47,0.13,0.7
R0_main,30,5,17341,2.9761,0.1726,1.7507,345.57,0.13,0.7
R0_main,30,5,17342,2.9761,0.1726,1.7507,345.57,0.13,0.7
R0_main,30,5,17343,2.9761,0.1726,1.7507,345.57,0.16,0.7
R0_main,30,5,17344,2.9761,0.1726,1.7507,345.57,0.19,0.7
R0_main,30,5,17345,2.9761,0.1726,1.7507,345.57,0.18,0.7
R0_main,50,2,17341,3.1394,0.2584,3.4353,296.63,0.18,16.9
R0_main,50,2,17342,3.1394,0.2584,3.4353,296.63,0.18,16.9
R0_main,50,2,17343,3.1394,0.2584,3.4353,296.63,0.18,16.9
R0_main,50,2,17344,3.1394,0.2584,3.4353,296.63,0.18,16.9
R0_main,50,2,17345,3.1394,0.2584,3.4353,296.63,0.18,16.9
R0_main,50,3,17341,3.1394,0.2603,2.4161,337.99,0.18,7.9
R0_main,50,3,17342,3.1394,0.2603,2.4161,337.99,0.18,7.9
R0_main,50,3,17343,3.1394,0.2603,2.4161,337.99,0.18,7.9
R0_main,50,3,17344,3.1394,0.2603,2.4161,337.99,0.17,7.9
R0_main,50,3,17345,3.1394,0.2603,2.4161,337.99,0.17,7.9
R0_main,50,4,17341,3.1394,0.2472,1.9688,306.57,0.18,0.6
R0_main,50,4,17342,3.1394,0.237,2.0488,296.92,0.18,0.7
R0_main,50,4,17343,3.1394,0.237,2.0488,296.92,0.18,0.7
R0_main,50,4,17344,3.1394,0.2676,1.9642,309.72,0.18,3.0
R0_main,50,4,17345,3.1394,0.2676,1.9642,309.72,0.18,3.0
R0_main,50,5,17341,3.1394,0.1943,1.5772,341.33,0.18,3.0
R0_main,50,5,17342,3.1394,0.1943,1.5772,341.33,0.18,3.0
R0_main,50,5,17343,3.1394,0.1943,1.5772,341.33,0.18,3.0
R0_main,50,5,17344,3.1394,0.1943,1.5772,341.33,0.18,3.0
R0_main,50,5,17345,3.1394,0.1943,1.5772,341.33,0.18,3.0
R1_robust,10,2,17341,2.1632,0.0409,2.3393,304.4,0.15,13.1
R1_robust,10,2,17342,2.1632,0.0409,2.3393,304.4,0.15,13.1
R1_robust,10,2,17343,2.1632,0.0409,2.3393,304.4,0.16,13.1
R1_robust,10,2,17344,2.1632,0.0409,2.3393,304.4,0.15,13.1
R1_robust,10,2,17345,2.1632,0.0409,2.3393,304.4,0.14,13.1
R1_robust,10,3,17341,2.1632,-0.0088,2.2036,184.19,0.16,6.0
R1_robust,10,3,17342,2.1632,-0.0088,2.2036,184.19,0.16,6.0
R1_robust,10,3,17343,2.1632,-0.0088,2.2036,184.19,0.16,6.0
R1_robust,10,3,17344,2.1632,-0.0088,2.2036,184.19,0.16,6.0
R1_robust,10,3,17345,2.1632,-0.0088,2.2036,184.19,0.15,6.0
R1_robust,10,4,17341,2.1632,0.0208,2.6479,213.81,0.16,2.5
R1_robust,10,4,17342,2.1632,0.0208,2.6479,213.81,0.16,2.5
R1_robust,10,4,17343,2.1632,0.0208,2.6475,213.75,0.16,2.5
R1_robust,10,4,17344,2.1632,0.0208,2.6479,213.81,0.16,2.5
R1_robust,10,4,17345,2.1632,0.0209,2.6491,213.89,0.16,2.5
R1_robust,10,5,17341,2.1632,0.0022,2.6505,173.02,0.16,2.1
R1_robust,10,5,17342,2.1632,0.0035,2.6279,171.98,0.16,2.5
R1_robust,10,5,17343,2.1632,0.0022,2.6505,173.02,0.17,2.1
R1_robust,10,5,17344,2.1632,0.0036,2.6328,172.18,0.16,2.5
R1_robust,10,5,17345,2.1632,0.0036,2.6328,172.18,0.16,2.5
R1_robust,20,2,17341,2.3518,0.0443,2.442,317.09,0.14,14.6
R1_robust,20,2,17342,2.3518,0.0443,2.442,317.09,0.14,14.6
R1_robust,20,2,17343,2.3518,0.0443,2.442,317.09,0.14,14.6
R1_robust,20,2,17344,2.3518,0.0443,2.442,317.09,0.13,14.6
R1_robust,20,2,17345,2.3518,0.0443,2.442,317.09,0.14,14.6
R1_robust,20,3,17341,2.3518,0.0198,2.6054,272.82,0.15,7.7
R1_robust,20,3,17342,2.3518,0.0198,2.6054,272.82,0.15,7.7
R1_robust,20,3,17343,2.3518,0.0198,2.6042,272.83,0.15,7.7
R1_robust,20,3,17344,2.3518,0.0198,2.6054,272.82,0.15,7.7
R1_robust,20,3,17345,2.3518,0.0198,2.6042,272.83,0.14,7.7
R1_robust,20,4,17341,2.3518,0.0146,2.6929,228.59,0.14,5.6
R1_robust,20,4,17342,2.3518,0.0146,2.6929,228.59,0.14,5.6
R1_robust,20,4,17343,2.3518,0.0146,2.6929,228.59,0.14,5.6
R1_robust,20,4,17344,2.3518,0.0146,2.6929,228.59,0.14,5.6
R1_robust,20,4,17345,2.3518,0.0146,2.6929,228.59,0.14,5.6
R1_robust,20,5,17341,2.3518,0.0392,2.5481,260.42,0.15,5.6
R1_robust,20,5,17342,2.3518,0.0392,2.5481,260.42,0.15,5.6
R1_robust,20,5,17343,2.3518,0.0392,2.5481,260.42,0.14,5.6
R1_robust,20,5,17344,2.3518,0.0392,2.5481,260.42,0.16,5.6
R1_robust,20,5,17345,2.3518,0.0392,2.5481,260.42,0.15,5.6
R1_robust,30,2,17341,2.4649,0.0622,2.8826,377.7,0.16,24.1
R1_robust,30,2,17342,2.4649,0.0622,2.8826,377.7,0.16,24.1
R1_robust,30,2,17343,2.4649,0.0622,2.8826,377.7,0.15,24.1
R1_robust,30,2,17344,2.4649,0.0622,2.8826,377.7,0.18,24.1
R1_robust,30,2,17345,2.4649,0.0622,2.8826,377.7,0.16,24.1
R1_robust,30,3,17341,2.4649,0.0242,2.7029,284.67,0.15,7.9
R1_robust,30,3,17342,2.4649,0.0242,2.7029,284.67,0.15,7.9
R1_robust,30,3,17343,2.4649,0.0242,2.7029,284.67,0.16,7.9
R1_robust,30,3,17344,2.4649,0.0242,2.7029,284.67,0.15,7.9
R1_robust,30,3,17345,2.4649,0.0242,2.7029,284.67,0.15,7.9
R1_robust,30,4,17341,2.4649,0.0372,2.7784,280.8,0.16,7.7
R1_robust,30,4,17342,2.4649,0.0372,2.7784,280.8,0.17,7.7
R1_robust,30,4,17343,2.4649,0.0372,2.7784,280.8,0.17,7.7
R1_robust,30,4,17344,2.4649,0.0372,2.7784,280.8,0.16,7.7
R1_robust,30,4,17345,2.4649,0.0371,2.7798,280.6,0.16,7.7
R1_robust,30,5,17341,2.4649,0.0392,2.5262,264.01,0.16,5.8
R1_robust,30,5,17342,2.4649,0.0392,2.5262,264.01,0.15,5.8
R1_robust,30,5,17343,2.4649,0.0392,2.5262,264.01,0.15,5.8
R1_robust,30,5,17344,2.4649,0.0392,2.5262,264.01,0.16,5.8
R1_robust,30,5,17345,2.4649,0.0392,2.5262,264.01,0.16,5.8
R1_robust,50,2,17341,2.5875,0.0692,2.9294,407.67,0.2,27.5
R1_robust,50,2,17342,2.5875,0.0691,2.9295,407.4,0.19,27.5
R1_robust,50,2,17343,2.5875,0.0691,2.9295,407.4,0.19,27.5
R1_robust,50,2,17344,2.5875,0.0692,2.9294,407.67,0.19,27.5
R1_robust,50,2,17345,2.5875,0.0691,2.9295,407.4,0.21,27.5
R1_robust,50,3,17341,2.5875,0.0522,2.8975,315.7,0.19,11.5
R1_robust,50,3,17342,2.5875,0.0522,2.8961,315.57,0.2,11.5
R1_robust,50,3,17343,2.5875,0.0522,2.8975,315.7,0.19,11.5
R1_robust,50,3,17344,2.5875,0.0522,2.8975,315.7,0.2,11.5
R1_robust,50,3,17345,2.5875,0.0522,2.8975,315.7,0.2,11.5
R1_robust,50,4,17341,2.5875,0.0692,2.5663,329.88,0.2,11.4
R1_robust,50,4,17342,2.5875,0.0692,2.5663,329.88,0.2,11.4
R1_robust,50,4,17343,2.5875,0.0692,2.5663,329.88,0.19,11.4
R1_robust,50,4,17344,2.5875,0.0692,2.5662,329.87,0.19,11.4
R1_robust,50,4,17345,2.5875,0.0692,2.5663,329.88,0.2,11.4
R1_robust,50,5,17341,2.5875,0.0861,2.4669,352.31,0.21,11.4
R1_robust,50,5,17342,2.5875,0.0861,2.4669,352.31,0.21,11.4
R1_robust,50,5,17343,2.5875,0.0861,2.4669,352.31,0.21,11.4
R1_robust,50,5,17344,2.5875,0.0861,2.4669,352.31,0.21,11.4
R1_robust,50,5,17345,2.5875,0.0861,2.4669,352.31,0.21,11.4
