representation_id,n_neighbors,k_cluster,ari_mean,ari_std
R0_main,10,2,1.0,0.0
R0_main,10,3,1.0,0.0
R0_main,10,4,1.0,0.0
R0_main,10,5,1.0,0.0
R0_main,20,2,1.0,0.0
R0_main,20,3,1.0,0.0
R0_main,20,4,1.0,0.0
R0_main,20,5,1.0,0.0
R0_main,30,2,1.0,0.0
R0_main,30,3,1.0,0.0
R0_main,30,4,0.9998,0.0002
R0_main,30,5,1.0,0.0
R0_main,50,2,1.0,0.0
R0_main,50,3,1.0,0.0
R0_main,50,4,0.9932,0.0053
R0_main,50,5,1.0,0.0
R1_robust,10,2,1.0,0.0
R1_robust,10,3,1.0,0.0
R1_robust,10,4,0.9992,0.0007
R1_robust,10,5,0.9976,0.0012
R1_robust,20,2,1.0,0.0
R1_robust,20,3,0.9995,0.0004
R1_robust,20,4,1.0,0.0
R1_robust,20,5,1.0,0.0
R1_robust,30,2,1.0,0.0
R1_robust,30,3,1.0,0.0
R1_robust,30,4,0.9996,0.0005
R1_robust,30,5,1.0,0.0
R1_robust,50,2,0.9995,0.0004
R1_robust,50,3,0.9991,0.001
R1_robust,50,4,0.9999,0.0001
R1_robust,50,5,1.0,0.0
