representation_id,method,k,silhouette_mean,silhouette_std,db_mean,ch_mean,runtime_mean_s,n_runs
R4_dropRedundant,kmeans,2,0.4276,0.0359,1.3892,9365.456,0.5782,10
R0_main,kmeans,2,0.3305,0.1416,2.0173,8392.865,0.7442,10
R2_withADR,kmeans,2,0.3298,0.1463,1.9526,8225.726,0.4429,10
R3_cyclicMonth,kmeans,2,0.3048,0.1723,1.9605,9204.898,0.346,10
R3_cyclicMonth,ikmeans,4,0.1477,0.0019,2.141,11539.25,0.5319,10
R4_dropRedundant,ikmeans,4,0.14,0.0013,2.2458,10132.38,0.7134,10
rep_v1_baseline,ikmeans,3,0.127,0.0018,2.5245,2465.65,0.1095,20
R3_cyclicMonth,ikmeans,3,0.127,0.0015,2.2902,12088.68,0.5216,10
R3_cyclicMonth,ikmeans,5,0.1257,0.0014,2.0812,10169.18,0.5349,10
R4_dropRedundant,ikmeans,5,0.125,0.0016,2.4981,8377.59,0.7078,10
rep_v1_baseline,ikmeans,6,0.1247,0.0018,2.1902,2139.56,0.1048,20
R1_robust,ikmeans,4,0.1231,0.0016,2.3645,9550.59,0.57,10
R2_withADR,ikmeans,4,0.1231,0.0016,2.3645,9550.43,0.5701,10
R0_main,ikmeans,4,0.1231,0.0016,2.3645,9550.59,0.5622,10
rep_v1_baseline,ikmeans,4,0.122,0.0017,2.3708,2368.54,0.11,20
R3_cyclicMonth,ikmeans,2,0.1217,0.0023,2.6886,12614.87,0.5238,10
rep_v1_baseline,ikmeans,5,0.1211,0.0017,2.3729,2209.63,0.1072,20
R3_cyclicMonth,kmeans,4,0.1204,0.0052,2.0597,8912.125,0.6175,10
R3_cyclicMonth,kmeans,5,0.1182,0.0042,1.9796,8498.568,0.7853,10
R4_dropRedundant,ikmeans,3,0.1155,0.0013,2.4457,10857.47,0.6979,10
R3_cyclicMonth,kmeans,3,0.1146,0.0012,2.2973,9870.712,0.481,10
rep_v1_baseline,ikmeans,7,0.1133,0.0018,2.1698,1913.18,0.1067,20
rep_v1_baseline,ikmeans,8,0.1091,0.0018,2.293,1699.87,0.1062,20
R4_dropRedundant,ikmeans,2,0.109,0.0017,2.8757,10716.88,0.7273,10
R0_main,ikmeans,3,0.1064,0.0012,2.5182,10145.17,0.5478,10
R1_robust,ikmeans,3,0.1064,0.0012,2.5182,10145.17,0.5537,10
R2_withADR,ikmeans,3,0.1064,0.0012,2.5182,10145.04,0.5537,10
R4_dropRedundant,kmeans,4,0.1046,0.0026,2.2212,8320.271,0.6889,10
R4_dropRedundant,kmeans,5,0.1043,0.0064,2.0854,8051.518,0.8249,10
R0_main,ikmeans,2,0.1036,0.002,2.9253,10768.85,0.56,10
R1_robust,ikmeans,2,0.1036,0.002,2.9253,10768.85,0.5624,10
R2_withADR,ikmeans,2,0.1036,0.002,2.9253,10768.81,0.5657,10
R1_robust,ikmeans,5,0.102,0.0012,2.3082,8348.49,0.572,10
R0_main,ikmeans,5,0.102,0.0012,2.3082,8348.49,0.5647,10
R2_withADR,ikmeans,5,0.102,0.0012,2.3082,8348.35,0.5725,10
R0_main,kmeans,4,0.1003,0.0069,2.2665,8202.535,0.6878,10
R0_main,kmeans,5,0.0997,0.0039,2.1607,7911.626,0.922,10
rep_v1_baseline,kmeans,8,0.0974,0.0039,1.8278,1645.277,0.335,20
R1_robust,kmeans,4,0.0967,0.0021,2.5584,7977.859,0.5371,10
R4_dropRedundant,kmeans,3,0.0965,0.0016,2.5119,8981.544,0.6931,10
R0_main,kmeans,3,0.0947,0.0016,2.5367,8855.75,0.5824,10
R1_robust,kmeans,5,0.0925,0.0019,2.4818,7128.25,0.7329,10
R2_withADR,kmeans,5,0.0917,0.0064,2.1582,7632.278,0.9011,10
rep_v1_baseline,kmeans,7,0.0904,0.0055,1.9224,1615.504,0.3164,20
R2_withADR,kmeans,3,0.0879,0.002,2.5581,8433.847,0.7387,10
R1_robust,kmeans,3,0.0874,0.0018,2.7755,8227.208,0.5717,10
rep_v1_baseline,kmeans,6,0.0873,0.0063,2.1307,1588.2,0.3024,20
R1_robust,kmeans,2,0.0838,0.0018,3.2258,8704.023,0.6787,10
rep_v1_baseline,kmeans,5,0.0832,0.0096,2.1303,1646.224,0.2908,20
R2_withADR,kmeans,4,0.0796,0.0022,2.453,7939.817,0.745,10
rep_v1_baseline,kmeans,4,0.0796,0.0062,2.5159,1653.051,0.287,20
rep_v1_baseline,kmeans,3,0.0795,0.0057,2.7628,1650.485,0.227,20
