representation_id,k,resample_seed,silhouette,davies_bouldin,calinski_harabasz
R0_main,2,17341,0.4481,1.335,470.61
R0_main,3,17341,0.2284,2.3255,395.54
R0_main,4,17341,0.2107,1.757,370.12
R0_main,5,17341,0.0843,2.3086,362.35
R0_main,2,17342,0.4456,1.2275,502.19
R0_main,3,17342,0.4542,1.037,431.77
R0_main,4,17342,0.243,1.3267,406.68
R0_main,5,17342,0.0861,2.0331,392.65
R0_main,2,17343,0.4291,1.3118,475.55
R0_main,3,17343,0.23,2.3032,408.52
R0_main,4,17343,0.2108,1.7599,382.83
R0_main,5,17343,0.2194,1.4424,375.56
R0_main,2,17344,0.4375,1.2179,470.96
R0_main,3,17344,0.4458,1.0235,398.35
R0_main,4,17344,0.0681,2.0473,379.06
R0_main,5,17344,0.0872,1.9405,376.69
R0_main,2,17345,0.4214,1.2404,444.68
R0_main,3,17345,0.4328,1.0353,440.35
R0_main,4,17345,0.2362,1.3118,423.18
R0_main,5,17345,0.0943,2.0888,414.96
R1_robust,2,17341,0.0627,3.017,358.75
R1_robust,3,17341,0.0737,2.8256,350.4
R1_robust,4,17341,0.0771,2.9224,329.55
R1_robust,5,17341,0.0651,2.7603,295.2
R1_robust,2,17342,0.064,3.195,353.93
R1_robust,3,17342,0.0819,2.9213,331.93
R1_robust,4,17342,0.076,3.0269,301.18
R1_robust,5,17342,0.0748,2.8574,281.75
R1_robust,2,17343,0.0617,3.143,354.78
R1_robust,3,17343,0.0787,2.8749,325.51
R1_robust,4,17343,0.0886,2.6139,315.59
R1_robust,5,17343,0.0813,2.5087,291.63
R1_robust,2,17344,0.073,3.4689,362.55
R1_robust,3,17344,0.0753,2.8224,321.24
R1_robust,4,17344,0.0694,3.1381,297.51
R1_robust,5,17344,0.0744,2.9286,278.43
R1_robust,2,17345,0.0751,3.5183,363.3
R1_robust,3,17345,0.0789,2.947,325.17
R1_robust,4,17345,0.0833,2.7833,318.96
R1_robust,5,17345,0.0768,2.6482,292.33
